country,inflation_rate,exports_gdp_share,gdp_growth_rate,gdp_per_capita,adult_literacy_rate,primary_school_enrolment_rate,education_expenditure_gdp_share,measles_immunisation_rate,health_expenditure_gdp_share,income_inequality,unemployment_rate,life_expectancy,total_population
St. Lucia,6.37814695133351,,20.3884431828414,13103.8243147472,,103.664779663086,3.69847011566162,81.0,5.01938295,,15.934,72.67,178781.0
St. Martin (French part),,,,,,,,,,,,80.236,28870.0
St. Vincent and the Grenadines,5.66009779226552,,3.1108330034352,9693.55867833025,,110.587085886846,7.20952939987183,99.0,4.68767738,,19.417,71.191,102046.0
Sudan,138.80846024176,1.57116183055586,-0.957816591119183,1046.24084472656,,,,66.0,4.61874437,,7.53,65.695,49383346.0
Suriname,52.446027276241,,2.40622235601218,6084.43876736445,,,3.43460845947266,74.0,5.91760969,39.2,8.16,73.254,623164.0
Sweden,8.36929098869189,53.8802781349213,1.45928849980044,55296.9371472535,,116.425392150879,,92.0,10.49857044,31.6,7.392,83.0585365853659,10486941.0
Switzerland,2.83502798644463,76.1397677689787,3.04406102969423,94394.5106803525,,101.363067626953,4.88824462890625,96.0,11.70653343,,4.122,83.6048780487805,8777088.0
Syrian Arab Republic,,6.81012687776418,0.732781301861365,1051.67149587463,,74.367431640625,,52.0,4.15098715,26.6,13.268,72.79,22462173.0
Tajikistan,,16.3531240454317,8.00000033846364,1052.17949484894,,101.345203671337,5.71509790420532,98.0,7.62917423,,11.634,71.562,10182222.0
Tanzania,4.35027204269101,15.4137105201683,4.56600576430955,1207.85302734375,82.0199966430664,88.2558784495081,3.23824501037598,89.0,3.1119566,,2.588,66.879,64711821.0
Thailand,-1.61068030486688,65.3727641914083,2.58037874709827,6909.35281815827,91.0998687744141,105.101107091175,2.61187028884888,93.0,5.35470581,34.3,0.94,75.291,71735329.0
Timor-Leste,7.00530945399787,55.6120534416076,-20.5415847471733,2343.24523350389,,120.849599035731,,72.0,14.32454681,,1.537,67.368,1369295.0
Togo,7.61712548690954,25.5991710804409,5.75954251521733,898.758154410712,,122.478256225586,3.79811930656433,71.0,6.04134083,,1.965,62.29,9089738.0
Tonga,10.9713652903022,11.5596393402516,-2.3098644452046,4933.07466930785,,106.535737282679,5.64619207382202,99.0,8.13607597,,2.302,72.635,105042.0
Trinidad and Tobago,5.82838638517959,,1.08222233950819,20874.37682915,,,2.87970423698425,92.0,6.43106365,,4.383,73.331,1365805.0
Tunisia,8.30646124447623,50.9788319964445,2.67331821840567,3708.8481241036,85.2149276733398,103.912643432617,6.8049898147583,95.0,6.96380186,,15.3,76.05,12119334.0
Turkiye,72.3088359891207,38.5842021809785,5.53342787492781,10674.504157865,,102.487701416016,2.61430358886719,95.0,3.70338893,44.5,10.465,77.591,84979913.0
Turkmenistan,,24.8763820118022,6.19999993621698,8156.35211950774,,110.284736633301,3.73386001586914,98.0,5.37103748,,4.109,69.913,7230193.0
Turks and Caicos Islands,,,14.0871234168153,31280.5418020808,,122.33812713623,4.10991382598877,,,,,77.918,45847.0
Tuvalu,,,0.677309361438304,5911.32727055301,,98.4408187866211,,90.0,18.38210106,,,66.852,9992.0
Uganda,7.1957888597581,12.0219954333331,4.58802192181773,963.067314233497,80.5899963378906,,2.56105017662048,92.0,4.39089251,,2.886,67.675,47312719.0
Ukraine,20.1836366617478,35.4451153382041,-28.7585842155085,4199.6708984375,,92.7711634493634,5.93389987945557,74.0,,,,72.658,41048766.0
United Arab Emirates,5.29122604376849,103.812252335101,7.50969703496445,49899.0652975197,98.0,,,98.0,4.67550945,,2.872,80.487,10074977.0
United Kingdom,7.92204883147902,33.5671944737788,4.83908517877134,46062.9914079698,,102.406127929688,4.95917558670044,90.0,11.05087757,,3.73,81.0112195121951,67604000.0
United States,8.00279982052121,11.6022279170372,2.5123753198332,77860.9112908848,,96.9717330932617,,92.0,16.49613953,41.7,3.65,77.4341463414634,334017321.0
Uruguay,9.10437983075437,33.3316130133263,4.48622703072073,20818.6146091144,99.0,108.822761535645,4.5073299407959,96.0,8.94532204,40.6,7.877,76.468,3390913.0
Uzbekistan,11.4466436998836,23.2670310407511,6.00134232203442,2578.66689394219,100.0,93.9099780290139,5.23477172851562,99.0,7.36325455,31.2,4.49,72.147,34938955.0
Vanuatu,6.67930581887121,9.64841450079906,5.18622862422562,3292.34108821237,,110.520745546126,10.7033452987671,70.0,4.14742947,,5.143,71.302,313046.0
"Venezuela, RB",,,,,97.5999984741211,,,52.0,4.55047369,,5.707,72.566,28213017.0
Viet Nam,3.15650749963129,93.420129043511,8.53750046755788,4147.69777213621,96.0,123.133723768475,2.88738679885864,88.0,4.58891582,36.1,1.523,74.502,99680655.0
Virgin Islands (U.S.),,97.3672945205479,-1.31123206333498,44320.909185774,,,,,,,13.007,80.319512195122,105413.0
West Bank and Gaza,3.74122391852077,18.4362526414651,4.08276027347105,3799.95527015163,98.0,91.7645874023438,,97.0,9.73336029,,24.42,76.662,5043612.0
"Yemen, Rep.",,,,615.702077657755,,,,53.0,6.18666697,,17.363,67.952,38222876.0
Zambia,10.9932039209136,40.1939977114306,5.21122360356247,1447.12310138035,,,3.58259510993958,90.0,5.25592279,51.5,5.995,65.279,20152938.0
Zimbabwe,104.705170628667,27.8721704885775,6.1391761744749,2040.54658705395,89.8499984741211,95.789907037216,,90.0,3.62880659,,10.087,62.36,16069056.0
